"","x"
"710","DGKG"
"711","ANKRD13B"
"712","C1orf21"
"713","CDR2L"
"714","CCDC74B"
"715","ARTN"
"716","DLL1"
"717","AGMAT"
"718","CD302"
"719","CDH1"
"720","CTF1"
"721","DGCR6"
"722","BOK"
"723","ADAMTSL4"
"724","CD59"
"725","CHMP4C"
"726","BTN3A3"
"727","ERO1L"
"728","BLVRA"
"729","FAM46C"
"730","CTSO"
"731","B3GNT5"
"732","DDTL"
"733","ARHGEF10"
"734","CNTNAP1"
"735","ARHGAP42"
"736","ASL"
"737","FAM195B"
"738","ADCY7"
"739","AHNAK"
"740","CCDC183"
"741","ARID3A"
"742","ABCA2"
"743","BTNL9"
"744","DTX2"
"745","DUSP8"
"746","FLNC"
"747","DSG2"
"748","C7orf13"
"749","FAM169A"
"750","FGFRL1"
"751","EYA2"
"752","CA13"
"753","DDAH2"
"754","COL1A2"
"755","DYNC1I1"
"756","CAMK1"
"757","ARHGEF10L"
"758","ARHGEF37"
"759","ACADS"
"760","ELMO1"
"761","BST1"
"762","ASCL2"
"763","ADARB1"
"764","ABCA1"
"765","DOCK5"
"766","ARAP2"
"767","CDK6"
"768","EPHA10"
"769","BAIAP3"
"770","CDCA7"
"771","DQX1"
"772","DAPK2"
"773","CXXC5"
"774","BCL6"
"775","DUSP10"
"776","DENND5A"
"777","BMP1"
"778","DNAJB4"
"779","CLCN4"
"780","EIF4E3"
"781","FAM132B"
"782","CLGN"
"783","CCND1"
"784","FAM72C"
"785","AADAT"
"786","CASZ1"
"787","CHPF"
"788","FAM171A2"
"789","CCDC28B"
"790","FAM13A"
"791","CCDC180"
"792","ABLIM1"
"793","BCL2L2-PABPN1"
"794","ALDH1L2"
"795","CLEC2D"
"796","BICC1"
"797","EPOR"
"798","DBNDD1"
"799","DBNDD2"
"800","ACOT11"
"801","FAM46B"
"802","CIB2"
"803","CEBPD"
"804","AP1S3"
"805","CD9"
"806","ARG2"
"807","AMT"
"808","BEND5"
"809","APOL2"
"810","ADPRH"
"811","CD320"
"812","DEF6"
"813","ANKRD37"
"814","ASPHD2"
"815","CTSD"
"816","CDYL2"
"817","C1orf86"
"818","ANXA5"
"819","AATK"
"820","FNBP1"
"821","ASPH"
"822","CACNA1D"
"823","CFD"
"824","CALB2"
"825","DUOXA1"
"826","CHCHD10"
"827","ABCA5"
"828","CYP4X1"
"829","DNAJC18"
"830","CNPY4"
"831","C9orf116"
"832","F8"
"833","AK4"
"834","DPP7"
"835","B4GALT6"
"836","CARD14"
"837","BCAR3"
"838","FAM189A2"
"839","ARHGEF28"
"840","ADAMTS9"
"841","CCDC109B"
"842","ABCC4"
"843","COBLL1"
"844","CD99"
"845","DEGS1"
"846","ATP11A"
"847","FAM46A"
"848","ABHD17A"
"849","AUTS2"
"850","CCNO"
"851","CLTCL1"
"852","ABHD12B"
"853","CDRT4"
"854","ADAM9"
"855","CITED2"
"856","C1QTNF6"
"857","ASAP1"
"858","CTSB"
"859","ANXA2"
"860","FHL3"
"861","C19orf57"
"862","EPS8L2"
"863","ATL1"
"864","CLTB"
"865","CD83"
"866","AGRN"
"867","DENND3"
"868","C5orf42"
"869","DFNB31"
"870","DIXDC1"
"871","ARHGAP33"
"872","BCL2L14"
"873","FAM183A"
"874","ANKRD36C"
"875","AVPI1"
"876","AP1M2"
"877","AJUBA"
"878","CDT1"
"879","APLN"
"880","ENO3"
"881","CD99L2"
"882","ARHGAP28"
"883","DLC1"
"884","BBC3"
"885","BLVRB"
"886","CNIH3"
"887","ECI2"
"888","DNMBP"
"889","ARHGAP10"
"890","APOL6"
"891","C3orf67"
"892","CRAT"
"893","ANKRD18B"
"894","APOC2"
"895","DIP2C"
"896","FAM84B"
"897","C1QTNF3"
"898","CHSY1"
"899","CDS1"
"900","CMTM8"
"901","DUSP2"
"902","ARHGAP25"
"903","BCAR1"
"904","FKBP5"
"905","CNTNAP2"
"906","EIF5A2"
"907","DNAJC15"
"908","FADS3"
"909","ARPC1B"
"910","DNAH14"
"911","BCAS4"
"912","CA8"
"913","CDH11"
"914","ADAT3"
"915","EPB41L1"
"916","CDK18"
"917","ABTB1"
"918","CAB39L"
"919","FAT1"
"920","ADD3"
"921","CEP112"
"922","ARHGAP31"
"923","ATP5D"
"924","AGFG2"
"925","AEBP1"
"926","ACSL4"
"927","E2F5"
"928","DNAJC6"
"929","DDX58"
"930","EFCAB2"
"931","FAM114A1"
"932","CEBPB"
"933","C1orf145"
"934","CLDN15"
"935","BANK1"
"936","ADAM28"
"937","CPT1B"
"938","DENND2D"
"939","FAM160A1"
"940","ANKRD50"
"941","BMP8B"
"942","CCDC102A"
"943","CDC42EP2"
"944","EDN2"
"945","ERO1LB"
"946","CTTNBP2"
"947","DAPL1"
"948","CCDC146"
"949","ANXA11"
"950","CPNE2"
"951","FAM221A"
"952","BAIAP2"
"953","CLDN23"
"954","FAM222A"
"955","ADTRP"
"956","ARHGEF19"
"957","ESRP2"
"958","FAM69A"
"959","DOK1"
"960","CDCA7L"
"961","ATF3"
"962","C20orf194"
"963","ACSF2"
"964","AMACR"
"965","ABCA7"
"966","CAPN3"
"967","CRISPLD2"
"968","CLSTN3"
"969","ADAMTS15"
"970","DNAAF3"
"971","ERV3-1"
"972","C17orf96"
"973","AMPD3"
"974","EFNB3"
"975","ACY3"
"976","FHDC1"
"977","ECE1"
"978","BDH1"
"979","CLIP3"
"980","CAPN15"
"981","FANK1"
"982","ARRDC3"
"983","ARSG"
"984","BCL3"
"985","DGAT1"
"986","C21orf2"
"987","CES3"
"988","COLCA1"
"989","CP"
"990","DHX58"
"991","CLYBL"
"992","FAM109A"
"993","CST6"
"994","C9orf16"
"995","FAM213B"
"996","CEACAM19"
"997","ARMCX4"
"998","FBXL2"
"999","ACY1"
"1000","CDC42BPG"
"1001","ENDOD1"
"1002","FAM49A"
"1003","DPM3"
"1004","FAM129B"
"1005","ELOVL5"
"1006","ATP2B1"
"1007","C19orf24"
"1008","CNKSR3"
"1009","CHST14"
"1010","DDX26B"
"1011","DUSP1"
"1012","DISP2"
"1013","CEP170B"
"1014","BICD1"
"1015","AIFM3"
"1016","C14orf80"
"1017","FOSL2"
"1018","BLMH"
"1019","ABRACL"
"1020","C4orf47"
"1021","ANKRD44"
"1022","CASP4"
"1023","C12orf57"
"1024","BCL9L"
"1025","ERAP1"
"1026","CCNG2"
"1027","CALU"
"1028","FHIT"
"1029","FAM102B"
"1030","CRIM1"
"1031","AGAP9"
"1032","FAM173A"
"1033","DCLK2"
"1034","DMXL2"
"1035","FAM83G"
"1036","CYP2U1"
"1037","B3GALT4"
"1038","ALDH4A1"
"1039","C3orf58"
"1040","FASN"
"1041","CIB1"
"1042","DVL1"
"1043","C20orf112"
"1044","ALOX5"
"1045","ATP9A"
"1046","FAM167A"
"1047","ACAP3"
"1048","FAM110A"
"1049","CNKSR1"
"1050","BHLHE40"
"1051","ELN"
"1052","EZR"
"1053","FAM64A"
"1054","ARSB"
"1055","FAHD2B"
"1056","CLEC11A"
"1057","DNAH1"
"1058","ABCC5"
"1059","ANKDD1A"
"1060","DBP"
"1061","DOCK9"
"1062","APBB2"
"1063","BOP1"
"1064","C1orf226"
"1065","BTBD11"
"1066","C2orf82"
"1067","DTNB"
"1068","FARP1"
"1069","BTN3A1"
"1070","CD58"
"1071","ARSD"
"1072","FAM115C"
"1073","CCDC124"
"1074","CTIF"
"1075","CROCC"
"1076","CHKB-CPT1B"
"1077","EFHC2"
"1078","C12orf56"
"1079","EMP2"
"1080","EGF"
"1081","DAGLA"
"1082","CHTF18"
"1083","CBX5"
"1084","CPAMD8"
"1085","ACCS"
"1086","DNAJA4"
"1087","ADM2"
"1088","DHRS2"
"1089","CYB5A"
"1090","BTBD19"
"1091","ACTR3C"
"1092","EIF4EBP1"
"1093","ARHGEF2"
"1094","CCDC40"
"1095","BAIAP2L1"
"1096","ALDH1B1"
"1097","CDHR3"
"1098","DGKQ"
"1099","CNN2"
"1100","ADCK3"
"1101","ARVCF"
"1102","FAM210B"
"1103","ERMP1"
"1104","CHRNA5"
"1105","DPY19L1"
"1106","CYP4V2"
"1107","FAM211B"
"1108","ECHDC2"
"1109","FLNB"
"1110","AKAP1"
"1111","FNIP2"
"1112","CACNB1"
"1113","CHKA"
"1114","CCDC176"
"1115","DPF1"
"1116","FAM161A"
"1117","CDK2AP1"
"1118","ATAD3C"
"1119","ENGASE"
"1120","DNAH2"
"1121","CAMSAP2"
"1122","APBA1"
"1123","DNAH3"
"1124","AMH"
"1125","EPN1"
"1126","ERBB2"
"1127","DENND5B"
"1128","CSAD"
"1129","ABHD4"
"1130","DLX3"
"1131","APH1B"
"1132","FBLN5"
"1133","F8A1"
"1134","FBXL6"
"1135","CRLF1"
"1136","C17orf97"
"1137","FMNL2"
"1138","CNTNAP3B"
"1139","FAM127A"
"1140","ERICH2"
"1141","FAM212B"
"1142","FLYWCH2"
"1143","ADRBK2"
"1144","B4GALT1"
"1145","CXCL14"
"1146","FBXO16"
"1147","CAPRIN2"
"1148","F11R"
"1149","BSCL2"
"1150","CISD3"
"1151","CD2AP"
"1152","FAIM3"
"1153","CYP2E1"
"1154","CTSK"
"1155","AKAP7"
"1156","BTN3A2"
"1157","E2F7"
"1158","AHCYL2"
"1159","AVIL"
"1160","AMOTL2"
"1161","BICD2"
"1162","CREG1"
"1163","FAM47E"
"1164","ANK2"
"1165","BTBD3"
"1166","AHDC1"
"1167","ASAH1"
"1168","CHAC1"
"1169","CPSF1"
"1170","CMIP"
"1171","ATP6V1G2-DDX39B"
"1172","CCNE2"
"1173","DMPK"
"1174","CSGALNACT2"
"1175","C16orf62"
"1176","EXTL2"
"1177","ELOVL6"
"1178","ADC"
"1179","C1GALT1"
"1180","DGKD"
"1181","C12orf36"
"1182","FBLIM1"
"1183","CAMK2D"
"1184","DLX4"
"1185","CDK5R1"
"1186","ABI2"
"1187","C18orf54"
"1188","CMTM4"
"1189","APBB3"
"1190","DENND6B"
"1191","FBXO44"
"1192","ESRRA"
"1193","ASTN2"
"1194","CHD3"
"1195","ARL4A"
"1196","CES2"
"1197","FKBP11"
"1198","DUSP7"
"1199","C20orf96"
"1200","AK1"
"1201","CPPED1"
"1202","CPEB4"
"1203","C12orf23"
"1204","EVC2"
"1205","DOCK8"
"1206","APBA2"
"1207","C21orf58"
"1208","EXPH5"
"1209","FAM231D"
"1210","CISH"
"1211","DAAM1"
"1212","ATM"
"1213","CFH"
"1214","COL28A1"
"1215","ALDH16A1"
"1216","CTNNAL1"
"1217","FGD4"
"1218","CD46"
"1219","ADAMTS17"
"1220","DNPH1"
"1221","ACTN1"
"1222","FN3K"
"1223","CAPN2"
"1224","C11orf45"
"1225","BCL2L1"
"1226","C4A"
"1227","FLVCR2"
"1228","ACACB"
"1229","EID2B"
"1230","DOCK6"
"1231","C7orf50"
"1232","FAM27B"
"1233","CRYZ"
"1234","FDXR"
"1235","CDH24"
"1236","DDR1"
